Year,Quarter,GDP_Billion_USD,Population_Million,Inflation_Rate,Unemployment_Rate,FDI_Million_USD,Export_Million_USD,Import_Million_USD,Agriculture_Growth,Industry_Growth,Services_Growth,Government_Spending_Billion_USD,Tax_Revenue_Billion_USD,Tourism_Revenue_Million_USD,Gold_Production_Tonnes,Manufacturing_Index,Electricity_Production_GWh,Mobile_Penetration_Percent,Internet_Penetration_Percent,Literacy_Rate_Percent
2012,4,24.46,46.7,11.5,12.2,,4428.7,5907.4,10.7,15.8,17.4,3.3,3.19,6483.5,118.9,79.7,4584.6,49.9,23.3,82.2
2013,1,24.9,47.0,11.9,12.4,1115.8,4547.3,,10.4,16.0,17.6,3.1,3.27,,121.6,80.4,4652.8,53.2,25.4,82.5
2013,2,25.36,47.4,12.2,,1160.7,4682.9,6255.1,10.9,16.5,18.1,3.4,3.35,7089.4,125.3,81.9,4733.5,56.7,27.7,82.9
2013,3,25.79,47.7,11.7,12.8,1208.5,4812.6,,10.6,,17.8,3.2,3.42,7398.6,128.4,81.3,4805.2,60.5,30.2,83.2
2013,4,26.26,48.1,12.1,12.9,1259.4,4961.3,6601.9,11.1,17.2,18.7,3.5,3.51,7739.8,,83.0,4887.9,64.6,33.0,83.6
2014,1,26.73,48.4,12.5,13.1,,5095.7,6789.3,10.8,17.4,18.9,3.4,3.59,8056.2,135.2,83.7,4962.1,68.9,36.1,83.9
2014,2,27.22,48.8,12.8,13.2,1373.9,5247.6,,11.3,17.9,,3.7,3.68,8412.5,139.7,85.2,5049.8,73.6,39.5,84.3
2014,3,27.67,49.1,12.2,13.4,1431.2,5393.2,7178.6,11.0,17.6,19.7,3.5,,8774.3,143.5,84.6,5128.4,78.6,43.2,84.6
2014,4,28.17,49.5,12.6,,1491.8,5558.4,7389.1,11.5,18.3,20.5,3.8,3.86,9178.9,148.2,86.3,5218.3,84.0,47.3,85.0
2015,1,28.66,49.9,13.0,13.8,1556.4,5709.8,,11.2,,20.7,3.6,3.95,9561.7,152.3,87.1,5299.7,89.8,51.8,85.3
2015,2,29.18,50.2,13.3,13.9,1619.7,5879.5,7823.4,11.7,18.9,21.3,3.9,4.05,,157.4,88.6,5394.2,96.1,56.8,85.7
2015,3,29.66,50.6,12.7,14.1,1689.2,6043.1,,11.4,18.6,21.1,3.7,4.14,10398.5,161.8,87.9,5479.8,102.8,62.3,86.1
2015,4,30.18,51.0,13.1,14.2,,6227.9,8289.7,,19.3,22.0,4.0,4.24,10875.2,167.3,89.6,5576.4,110.1,68.4,86.4
2016,1,30.7,51.4,13.5,14.4,1847.6,6398.2,8534.6,12.3,19.5,22.2,3.9,4.34,,172.1,90.4,5664.1,117.9,75.1,86.8
2016,2,31.25,51.8,13.8,,1924.3,6586.7,8798.3,12.7,20.1,22.9,4.2,4.45,11923.8,178.2,92.0,5765.3,126.4,82.5,87.2
2016,3,31.75,52.2,13.2,14.8,2006.1,6769.4,,12.4,,22.6,4.0,,12458.1,183.6,91.3,5857.2,135.6,90.6,87.6
2016,4,32.3,52.6,13.6,14.9,2093.5,6974.8,9347.1,12.9,20.6,23.6,4.3,4.67,13042.5,,93.1,5960.8,145.6,99.5,87.9
2017,1,32.85,53.0,14.0,15.1,,7165.3,9634.9,,20.8,23.8,4.1,4.78,13589.3,197.4,94.0,6055.4,156.3,109.2,88.3
2017,2,33.42,53.4,14.3,15.2,2283.7,7375.9,,13.6,21.5,24.6,4.4,4.9,14201.8,204.9,95.7,6164.1,167.9,120.0,88.7
2017,3,33.95,53.8,13.7,,2382.6,7581.2,10235.7,13.3,21.2,,4.2,5.01,,210.8,94.9,6263.8,180.4,131.8,89.1
2017,4,34.52,54.2,14.1,15.6,2487.3,7809.4,10561.3,13.8,22.0,25.4,4.5,5.14,15512.6,218.3,96.8,6375.2,193.9,144.9,89.5
2018,1,35.09,54.7,14.5,15.7,2598.1,8024.6,,13.5,,25.6,4.4,,16189.7,224.6,97.7,6477.9,208.5,159.3,89.9
2018,2,35.69,55.1,14.8,15.9,2707.8,8259.4,11263.8,14.0,22.7,26.4,4.7,5.38,16932.5,232.8,99.4,6595.3,224.3,175.2,90.3
2018,3,36.24,55.5,14.2,16.0,2825.4,8489.3,,13.7,22.4,26.2,4.5,5.51,,239.4,98.6,6703.7,241.5,192.7,90.7
2018,4,36.84,55.9,14.6,,2949.8,8743.6,11956.3,14.2,23.2,27.3,4.8,5.65,18542.9,247.9,100.5,6824.8,260.1,212.1,91.1
2019,1,37.44,56.3,15.0,16.4,3081.5,8984.7,,13.9,23.4,27.5,4.6,5.79,19348.6,,101.4,6937.2,280.2,233.4,91.5
2019,2,38.07,56.8,15.3,16.5,3212.6,9246.8,12712.7,14.4,24.1,,5.0,5.94,20234.9,266.1,103.2,7065.1,301.9,256.8,91.9
2019,3,38.64,57.2,14.7,16.7,3352.1,9504.2,13067.5,,23.8,28.5,4.7,,21129.3,273.8,102.3,7183.6,325.4,282.4,92.3
2019,4,39.26,57.6,15.1,16.8,,9786.9,13456.8,15.1,24.6,29.6,5.1,6.23,22098.7,283.5,104.3,7315.4,350.8,310.6,92.7
2020,1,39.88,58.1,15.5,16.9,3647.8,10056.4,,14.8,,29.8,4.9,6.38,,291.7,105.3,7438.9,378.3,341.7,93.1
2020,2,40.53,58.5,15.8,17.1,3798.9,10352.7,14268.9,15.3,25.3,30.7,5.2,6.54,23789.4,301.9,107.2,7578.2,408.1,376.0,93.5
2020,3,41.12,59.0,15.1,,3959.4,10644.3,14687.3,15.0,25.0,30.4,5.0,6.69,24834.6,,106.3,7708.5,440.4,413.6,93.9
2020,4,41.76,59.4,15.5,17.5,4128.7,10961.8,,15.5,25.9,31.6,5.3,6.86,25976.8,323.6,108.5,7852.1,475.3,454.9,94.3
2021,1,42.4,59.9,15.9,17.6,4306.2,11266.4,15634.7,,26.1,31.8,5.1,,27095.2,333.4,109.5,7987.3,513.1,500.4,94.7
2021,2,43.07,60.3,16.2,17.8,4491.5,11598.9,16099.3,16.2,26.9,32.8,5.5,7.19,28346.7,345.3,111.5,8139.6,553.9,550.4,95.1
2021,3,43.68,60.8,15.6,17.9,4685.7,11926.8,,15.9,,32.5,5.2,7.35,,355.6,110.5,8282.4,597.8,605.3,95.5
2021,4,44.34,61.2,16.0,,4888.6,12283.4,17088.9,16.4,27.6,33.9,5.6,7.53,30912.5,368.2,112.8,8439.7,645.2,665.6,95.9
2022,1,45.0,61.7,16.4,18.3,5100.3,12626.9,,16.1,27.8,34.1,5.4,7.71,32245.8,,113.9,8588.1,696.2,732.2,96.3
2022,2,45.69,62.2,16.7,18.4,5320.8,12998.7,18179.4,16.6,28.6,35.2,5.8,7.9,33746.1,392.5,115.9,8753.8,751.3,805.4,96.7
2022,3,46.32,62.6,16.1,,5550.3,13365.2,18723.6,16.3,28.3,,5.5,8.08,35254.3,404.2,114.9,8910.2,810.9,885.9,97.1
2022,4,47.0,63.1,16.5,18.8,5789.1,13761.8,19312.7,,29.3,36.6,5.9,8.28,36896.7,418.6,117.2,9081.6,875.0,974.5,97.5
2023,1,47.68,63.6,16.9,18.9,6037.5,14145.6,,17.1,29.5,36.8,5.7,8.48,38512.9,,118.3,9244.3,943.8,1071.0,97.9
2023,2,48.39,64.1,17.2,19.1,6295.3,14558.9,20534.7,17.6,30.4,38.0,6.1,8.69,40298.6,446.2,120.4,9425.1,1017.6,1177.1,98.3
2023,3,49.04,64.5,16.6,19.2,6562.8,14967.3,,17.3,,37.7,5.8,8.89,,459.3,119.3,9596.8,1097.2,1293.8,98.7
2023,4,49.74,65.0,17.0,,6840.2,15406.8,21812.4,17.8,31.1,39.3,6.2,9.11,43989.7,475.1,121.7,9783.5,1183.4,1421.2,99.1
2024,1,50.44,65.5,17.4,19.6,,15833.2,22478.9,17.5,,39.5,6.0,,45892.3,489.4,122.9,9961.8,1276.2,1560.5,99.5
2024,2,51.16,66.0,17.7,19.7,7424.6,16291.4,23189.7,18.0,32.5,40.8,6.5,9.55,48001.2,506.3,125.1,10159.4,1376.5,1713.6,99.9
2024,3,51.82,66.5,17.1,19.9,7737.9,16745.2,,17.7,32.2,40.5,6.2,9.77,50134.6,,124.0,10348.2,1484.2,1881.9,100.3
2024,4,52.53,67.0,17.5,20.0,8062.4,17231.5,24698.3,18.2,33.4,42.1,6.6,10.01,52456.8,541.2,126.5,10553.7,1600.8,2067.1,100.7
